Website,URL,Product Name,Price,Date
amazon,https://www.amazon.com/Printer-Filament-SUNLU-Dimensional-Accuracy/dp/B07XG3RM58?pd_rd_w=1QyGG&content-id=amzn1.sym.60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_p=60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_r=VMGPJBRHAQA9RGSHD5VB&pd_rd_wg=icyUA&pd_rd_r=a7067c59-be4e-408f-814d-ceea8c9bbc28&pd_rd_i=B07XG3RM58&psc=1&ref_=pd_bap_d_grid_rp_0_1_ec_pd_hp_d_atf_rp_1_t,"SUNLU PLA 3D Printer Filament PLA Filament 1.75mm, Neatly Wound PLA 3D Printing Filament 1.75mm, Dimensional Accuracy +/- 0.02 mm, Fit Most FDM 3D Printers, 1kg Spool (2.2lbs), PLA Black",13.00,2025-02-20
amazon,https://www.amazon.com/Printer-Filament-SUNLU-Dimensional-Accuracy/dp/B07XG3RM58?pd_rd_w=1QyGG&content-id=amzn1.sym.60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_p=60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_r=VMGPJBRHAQA9RGSHD5VB&pd_rd_wg=icyUA&pd_rd_r=a7067c59-be4e-408f-814d-ceea8c9bbc28&pd_rd_i=B07XG3RM58&psc=1&ref_=pd_bap_d_grid_rp_0_1_ec_pd_hp_d_atf_rp_1_t,"SUNLU PLA 3D Printer Filament PLA Filament 1.75mm, Neatly Wound PLA 3D Printing Filament 1.75mm, Dimensional Accuracy +/- 0.02 mm, Fit Most FDM 3D Printers, 1kg Spool (2.2lbs), PLA Black",13.00,2025-02-19
amazon,https://www.amazon.com/Printer-Filament-SUNLU-Dimensional-Accuracy/dp/B07XG3RM58?pd_rd_w=1QyGG&content-id=amzn1.sym.60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_p=60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_r=VMGPJBRHAQA9RGSHD5VB&pd_rd_wg=icyUA&pd_rd_r=a7067c59-be4e-408f-814d-ceea8c9bbc28&pd_rd_i=B07XG3RM58&psc=1&ref_=pd_bap_d_grid_rp_0_1_ec_pd_hp_d_atf_rp_1_t,"SUNLU PLA 3D Printer Filament PLA Filament 1.75mm, Neatly Wound PLA 3D Printing Filament 1.75mm, Dimensional Accuracy +/- 0.02 mm, Fit Most FDM 3D Printers, 1kg Spool (2.2lbs), PLA Black",13.00,2025-02-18
amazon,https://www.amazon.com/Printer-Filament-SUNLU-Dimensional-Accuracy/dp/B07XG3RM58?pd_rd_w=1QyGG&content-id=amzn1.sym.60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_p=60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_r=VMGPJBRHAQA9RGSHD5VB&pd_rd_wg=icyUA&pd_rd_r=a7067c59-be4e-408f-814d-ceea8c9bbc28&pd_rd_i=B07XG3RM58&psc=1&ref_=pd_bap_d_grid_rp_0_1_ec_pd_hp_d_atf_rp_1_t,"SUNLU PLA 3D Printer Filament PLA Filament 1.75mm, Neatly Wound PLA 3D Printing Filament 1.75mm, Dimensional Accuracy +/- 0.02 mm, Fit Most FDM 3D Printers, 1kg Spool (2.2lbs), PLA Black",13.00,2025-02-17
amazon,https://www.amazon.com/Printer-Filament-SUNLU-Dimensional-Accuracy/dp/B07XG3RM58?pd_rd_w=1QyGG&content-id=amzn1.sym.60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_p=60f87f33-ca05-451e-a194-5dbc8a1f889d&pf_rd_r=VMGPJBRHAQA9RGSHD5VB&pd_rd_wg=icyUA&pd_rd_r=a7067c59-be4e-408f-814d-ceea8c9bbc28&pd_rd_i=B07XG3RM58&psc=1&ref_=pd_bap_d_grid_rp_0_1_ec_pd_hp_d_atf_rp_1_t,"SUNLU PLA 3D Printer Filament PLA Filament 1.75mm, Neatly Wound PLA 3D Printing Filament 1.75mm, Dimensional Accuracy +/- 0.02 mm, Fit Most FDM 3D Printers, 1kg Spool (2.2lbs), PLA Black",13.00,2025-02-16
amazon,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive-ebook/dp/B01NAWAH85/?_encoding=UTF8&pd_rd_w=yJeXJ&content-id=amzn1.sym.993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_p=993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_r=8BJV2D16JH701W0BBN9E&pd_rd_wg=2KfBh&pd_rd_r=cf989bc9-2d7a-479a-83b2-09d040866bbe&ref_=pd_hp_d_btf_bmx27b,"Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, Book 3)",7.00,2025-02-20
amazon,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive-ebook/dp/B01NAWAH85/?_encoding=UTF8&pd_rd_w=yJeXJ&content-id=amzn1.sym.993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_p=993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_r=8BJV2D16JH701W0BBN9E&pd_rd_wg=2KfBh&pd_rd_r=cf989bc9-2d7a-479a-83b2-09d040866bbe&ref_=pd_hp_d_btf_bmx27b,"Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, Book 3)",7.00,2025-02-19
amazon,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive-ebook/dp/B01NAWAH85/?_encoding=UTF8&pd_rd_w=yJeXJ&content-id=amzn1.sym.993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_p=993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_r=8BJV2D16JH701W0BBN9E&pd_rd_wg=2KfBh&pd_rd_r=cf989bc9-2d7a-479a-83b2-09d040866bbe&ref_=pd_hp_d_btf_bmx27b,"Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, Book 3)",7.50,2025-02-18
amazon,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive-ebook/dp/B01NAWAH85/?_encoding=UTF8&pd_rd_w=yJeXJ&content-id=amzn1.sym.993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_p=993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_r=8BJV2D16JH701W0BBN9E&pd_rd_wg=2KfBh&pd_rd_r=cf989bc9-2d7a-479a-83b2-09d040866bbe&ref_=pd_hp_d_btf_bmx27b,"Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, Book 3)",7.25,2025-02-17
amazon,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive-ebook/dp/B01NAWAH85/?_encoding=UTF8&pd_rd_w=yJeXJ&content-id=amzn1.sym.993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_p=993fc6df-54e4-42e1-841d-cb12f960d98f&pf_rd_r=8BJV2D16JH701W0BBN9E&pd_rd_wg=2KfBh&pd_rd_r=cf989bc9-2d7a-479a-83b2-09d040866bbe&ref_=pd_hp_d_btf_bmx27b,"Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, Book 3)",7.00,2025-02-16
